match_id,season,date,venue,city,team1,team2,toss_winner,toss_decision,team1_won_toss,team1_batting_first,team1_is_home,team2_is_home,team1_form_5,team2_form_5,team1_form_10,team2_form_10,form_diff_5,team1_overall_win_rate,team2_overall_win_rate,overall_win_rate_diff,h2h_matches,team1_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate,venue_win_rate_diff,winner,team1_won
335982,2007/08,2008-04-18,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,1,0,1,0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0,0.5,0.5,0.5,0.0,Kolkata Knight Riders,0
335983,2007/08,2008-04-19,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,0,0,1,0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0,0.5,0.5,0.5,0.0,Chennai Super Kings,0
335984,2007/08,2008-04-19,Arun Jaitley Stadium,Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,0,0,1,0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0,0.5,0.5,0.5,0.0,Delhi Capitals,1
335985,2007/08,2008-04-20,Wankhede Stadium,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,1,1,1,0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0,0.5,0.5,0.0,0.5,Royal Challengers Bengaluru,0
335986,2007/08,2008-04-20,Eden Gardens,Kolkata,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,0,0,1,0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0,0.5,1.0,0.5,0.5,Kolkata Knight Riders,1
335987,2007/08,2008-04-21,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,Rajasthan Royals,1
335988,2007/08,2008-04-22,Rajiv Gandhi International Stadium,Hyderabad,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,1,1,0,0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0,0.5,0.0,1.0,-1.0,Delhi Capitals,0
335989,2007/08,2008-04-23,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,0,1,1,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.5,1.0,0.0,1.0,Chennai Super Kings,1
335990,2007/08,2008-04-24,Rajiv Gandhi International Stadium,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,0,1,0,0,0.0,0.5,0.0,0.5,-0.5,0.0,0.5,-0.5,0,0.5,0.0,0.5,-0.5,Rajasthan Royals,0
335991,2007/08,2008-04-25,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,Punjab Kings,1
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,0,1,1,0,0.5,0.6667,0.5,0.6667,-0.1667,0.5,0.6667,-0.1667,0,0.5,0.0,0.6667,-0.6667,Rajasthan Royals,0
335993,2007/08,2008-04-26,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,0,0,1,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.5,1.0,1.0,0.0,Chennai Super Kings,1
335994,2007/08,2008-04-27,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,Deccan Chargers,0
335995,2007/08,2008-04-27,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,0,0,1,0,0.3333,1.0,0.3333,1.0,-0.6667,0.3333,1.0,-0.6667,0,0.5,0.5,1.0,-0.5,Punjab Kings,1
335996,2007/08,2008-04-28,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,0,0,1,0,0.3333,1.0,0.3333,1.0,-0.6667,0.3333,1.0,-0.6667,0,0.5,0.0,1.0,-1.0,Chennai Super Kings,0
335997,2007/08,2008-04-29,Eden Gardens,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,1,1,1,0,0.6667,0.0,0.6667,0.0,0.6667,0.6667,0.0,0.6667,0,0.5,1.0,0.0,1.0,Mumbai Indians,0
335998,2007/08,2008-04-30,Arun Jaitley Stadium,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,0,1,1,0,0.6667,0.25,0.6667,0.25,0.4167,0.6667,0.25,0.4167,0,0.5,1.0,0.25,0.75,Delhi Capitals,1
335999,2007/08,2008-05-01,Rajiv Gandhi International Stadium,Hyderabad,Deccan Chargers,Punjab Kings,Punjab Kings,field,0,1,0,0,0.25,0.5,0.25,0.5,-0.25,0.25,0.5,-0.25,0,0.5,0.0,0.5,-0.5,Punjab Kings,0
336000,2007/08,2008-05-01,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,1,1,1,0,0.75,0.5,0.75,0.5,0.25,0.75,0.5,0.25,0,0.5,1.0,0.5,0.5,Rajasthan Royals,1
336001,2007/08,2008-05-02,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,1,1,1,0,1.0,0.75,1.0,0.75,0.25,1.0,0.75,0.25,0,0.5,1.0,0.75,0.25,Delhi Capitals,0
336003,2007/08,2008-05-03,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,1,1,1,0,0.6,0.4,0.6,0.4,0.2,0.6,0.4,0.2,0,0.5,0.6667,0.4,0.2667,Punjab Kings,1
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,field,0,1,1,0,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0,0.5,0.0,0.2,-0.2,Royal Challengers Bengaluru,1
336004,2007/08,2008-05-04,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,0,1,0,0,0.2,0.8,0.2,0.8,-0.6,0.2,0.8,-0.6,0,0.5,0.0,0.8,-0.8,Mumbai Indians,1
336005,2007/08,2008-05-04,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,0,0,1,0,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0,0.5,1.0,0.8,0.2,Rajasthan Royals,1
336006,2007/08,2008-05-05,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,0,1,1,0,0.4,0.8,0.3333,0.6667,-0.4,0.3333,0.6667,-0.3333,0,0.5,0.25,0.6667,-0.4167,Punjab Kings,0
